Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2025-10-20,129.7899932861328,135.72900390625,128.25,130.80999755859375,9339400,10821745,-13.7,136.41,140.3,,,46.05,148.8 - 151.2 (23.6%),127.5 - 135.0 (26.7%),125.1 - 139.0 (17.2%),132.0 - 144.0 (12.4%)
2025-10-21,130.4499969482422,133.0,125.6500015258789,129.85000610351562,9603000,10854290,-11.53,136.36,139.37,,,45.38,148.8 - 151.2 (23.3%),127.5 - 135.0 (28.3%),125.1 - 139.0 (17.6%),132.0 - 144.0 (12.4%)
2025-10-22,128.57000732421875,131.0,122.5,124.79000091552734,8810200,10837010,-18.7,136.02,138.42,,,41.88,148.2 - 150.8 (36.5%),127.3 - 134.0 (23.3%),125.1 - 139.0 (17.6%),132.0 - 144.0 (12.3%)
2025-10-23,124.9800033569336,130.00999450683594,124.30999755859375,129.86000061035156,6896100,10795320,-36.12,136.28,137.41,,,46.34,148.2 - 150.8 (27.5%),127.3 - 134.0 (24.4%),125.1 - 139.0 (17.9%),132.0 - 144.0 (12.3%)
2025-10-24,132.9600067138672,144.02999877929688,131.02000427246094,142.0500030517578,15678700,11305865,38.68,137.03,136.72,,,55.23,148.2 - 150.8 (28.2%),130.0 - 136.5 (26.8%),125.1 - 139.0 (17.7%),132.0 - 144.0 (13.0%)
2025-10-27,146.92999267578125,147.44000244140625,138.10000610351562,143.2899932861328,9715600,11267915,-13.78,137.51,136.31,,,56.03,132.6 - 135.2 (24.6%),130.0 - 136.5 (26.8%),125.1 - 139.0 (17.6%),132.0 - 144.0 (13.4%)
2025-10-28,143.25,143.3800048828125,135.85000610351562,136.11000061035156,7857500,11262515,-30.23,137.69,135.83,,,50.42,132.6 - 135.2 (25.3%),130.0 - 136.5 (27.9%),125.1 - 139.0 (17.9%),132.0 - 144.0 (13.7%)
2025-10-29,136.0,136.0500030517578,129.67999267578125,131.74000549316406,7593600,11188830,-32.13,137.82,135.46,,,47.32,132.6 - 135.2 (26.0%),129.8 - 135.7 (30.2%),125.1 - 139.0 (18.3%),132.0 - 144.0 (13.7%)
2025-10-30,129.97000122070312,130.0,122.48999786376953,122.70999908447266,10751300,10765585,-0.13,136.47,134.81,,,41.62,134.4 - 136.5 (16.3%),133.4 - 138.0 (18.7%),125.1 - 139.0 (18.2%),132.0 - 144.0 (13.6%)
2025-10-31,126.30999755859375,129.39999389648438,124.87999725341797,126.9800033569336,6616900,10129765,-34.68,135.53,134.38,,,44.99,134.4 - 136.5 (18.2%),132.0 - 136.4 (19.0%),125.1 - 139.0 (18.4%),132.0 - 144.0 (13.6%)
2025-11-03,125.75,125.75,117.82599639892578,117.86000061035156,9050500,10041790,-9.87,134.0,133.69,,,39.72,127.5 - 130.0 (17.9%),130.2 - 134.4 (20.8%),125.1 - 139.0 (18.4%),132.0 - 144.0 (13.5%)
